2019-11-30T14:59:05Z,2,eui-60c5a8fffe74d21d,2.1,-126,-10.5,eui-60c5a8fffe74d21d,-125,-10.3,,0,0,,0,0,polah
2019-11-30T14:59:51Z,1,eui-60c5a8fffe74d21d,2.11,-124,-8.8,,0,0,,0,0,,0,0,polah
2019-11-30T14:59:55Z,2,eui-60c5a8fffe74d21d,2.11,-117,-4,eui-60c5a8fffe74d21d,-126,-11,,0,0,,0,0,polah
2019-11-30T15:00:00Z,2,eui-60c5a8fffe74d21d,2.11,-117,-4,eui-60c5a8fffe74d21d,-127,-11.5,,0,0,,0,0,polah
2019-11-30T15:00:05Z,2,eui-60c5a8fffe74d21d,2.11,-126,-10.8,eui-60c5a8fffe74d21d,-118,-4.5,,0,0,,0,0,polah
2019-11-30T15:00:10Z,2,eui-60c5a8fffe74d21d,2.11,-119,-4,eui-60c5a8fffe74d21d,-126,-11,,0,0,,0,0,polah
2019-11-30T15:00:32Z,2,eui-60c5a8fffe74d21d,2.11,-119,-4,eui-60c5a8fffe74d21d,-126,-10.5,,0,0,,0,0,polah
2019-11-30T15:00:36Z,1,eui-60c5a8fffe74d21d,2.11,-114,-0.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:00:42Z,1,eui-60c5a8fffe74d21d,2.11,-113,-1,,0,0,,0,0,,0,0,polah
2019-11-30T15:00:46Z,1,eui-60c5a8fffe74d21d,2.11,-118,-3.3,,0,0,,0,0,,0,0,polah
2019-11-30T15:00:52Z,2,eui-60c5a8fffe74d21d,2.11,-125,-11.8,eui-60c5a8fffe74d21d,-117,-3.8,,0,0,,0,0,polah
2019-11-30T15:00:56Z,2,eui-60c5a8fffe74d21d,2.11,-127,-12.3,eui-60c5a8fffe74d21d,-120,-4.5,,0,0,,0,0,polah
2019-11-30T15:01:01Z,1,eui-60c5a8fffe74d21d,2.11,-119,-3.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:01:06Z,2,eui-60c5a8fffe74d21d,2.11,-118,-4.5,eui-60c5a8fffe74d21d,-126,-11.3,,0,0,,0,0,polah
2019-11-30T15:01:12Z,2,eui-60c5a8fffe74d21d,2.11,-117,-3.5,eui-60c5a8fffe74d21d,-128,-13,,0,0,,0,0,polah
2019-11-30T15:01:17Z,2,eui-60c5a8fffe74d21d,2.11,-128,-12.5,eui-60c5a8fffe74d21d,-115,-2.8,,0,0,,0,0,polah
2019-11-30T15:01:22Z,2,eui-60c5a8fffe74d21d,2.12,-128,-12.5,eui-60c5a8fffe74d21d,-119,-4,,0,0,,0,0,polah
2019-11-30T15:01:27Z,2,eui-60c5a8fffe74d21d,2.12,-118,-5,eui-60c5a8fffe74d21d,-122,-9.3,,0,0,,0,0,polah
2019-11-30T15:01:32Z,2,eui-60c5a8fffe74d21d,2.12,-126,-8.5,eui-60c5a8fffe74d21d,-125,-9.8,,0,0,,0,0,polah
2019-11-30T15:01:37Z,1,eui-60c5a8fffe74d21d,2.12,-125,-9.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:01:43Z,2,eui-60c5a8fffe74d21d,2.12,-123,-7.8,eui-60c5a8fffe74d21d,-120,-6.8,,0,0,,0,0,polah
2019-11-30T15:01:47Z,2,eui-60c5a8fffe74d21d,2.12,-125,-9.5,eui-60c5a8fffe74d21d,-121,-5.5,,0,0,,0,0,polah
2019-11-30T15:01:53Z,1,eui-60c5a8fffe74d21d,2.11,-120,-4.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:01:58Z,1,eui-60c5a8fffe74d21d,2.11,-117,-4.8,,0,0,,0,0,,0,0,polah
2019-11-30T15:02:03Z,2,eui-60c5a8fffe74d21d,2.11,-118,-2.8,eui-60c5a8fffe74d21d,-120,-5.3,,0,0,,0,0,polah
2019-11-30T15:02:08Z,1,eui-60c5a8fffe74d21d,2.11,-116,-4.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:02:13Z,2,eui-60c5a8fffe74d21d,2.1,-118,-4.8,eui-60c5a8fffe74d21d,-120,-5.3,,0,0,,0,0,polah
2019-11-30T15:02:18Z,1,eui-60c5a8fffe74d21d,2.1,-119,-4,,0,0,,0,0,,0,0,polah
2019-11-30T15:02:23Z,2,eui-60c5a8fffe74d21d,2.11,-123,-7.5,eui-60c5a8fffe74d21d,-120,-7.3,,0,0,,0,0,polah
2019-11-30T15:02:29Z,2,eui-60c5a8fffe74d21d,2.11,-124,-8.8,eui-60c5a8fffe74d21d,-123,-7.5,,0,0,,0,0,polah
2019-11-30T15:02:39Z,2,eui-60c5a8fffe74d21d,2.11,-116,-3.3,eui-60c5a8fffe74d21d,-113,0,,0,0,,0,0,polah
2019-11-30T15:02:44Z,3,eui-60c5a8fffe71ab1c,19.18,-125,-7.5,eui-60c5a8fffe74d21d,0,0,eui-60c5a8fffe74d21d,-115,-1.5,,-109,6,polah
2019-11-30T15:02:49Z,2,eui-60c5a8fffe74d21d,2.11,-114,-1.8,eui-60c5a8fffe74d21d,-105,6,,0,0,,0,0,polah
2019-11-30T15:02:57Z,3,eui-60c5a8fffe71ab1c,19.18,-123,-6.3,eui-60c5a8fffe74d21d,0,0,eui-60c5a8fffe74d21d,-113,-1,,-104,7.5,polah
2019-11-30T15:02:59Z,3,eui-60c5a8fffe74d21d,2.11,-118,-4.8,eui-60c5a8fffe74d21d,-107,7.5,eui-60c5a8fffe71ab1c,-124,-7,,0,0,polah
2019-11-30T15:03:05Z,3,eui-60c5a8fffe71ab1c,19.18,-125,-7.8,eui-60c5a8fffe74d21d,0,0,eui-60c5a8fffe74d21d,-121,-5.5,,-106,6.5,polah
2019-11-30T15:03:13Z,2,eui-60c5a8fffe74d21d,2.11,-112,-1,eui-60c5a8fffe74d21d,-106,7,,0,0,,0,0,polah
2019-11-30T15:03:15Z,2,eui-60c5a8fffe74d21d,2.11,-109,6,eui-60c5a8fffe74d21d,-128,-13,,0,0,,0,0,polah
2019-11-30T15:03:21Z,2,eui-60c5a8fffe74d21d,2.11,-128,-12.8,eui-60c5a8fffe74d21d,-106,5.3,,0,0,,0,0,polah
2019-11-30T15:03:25Z,2,eui-60c5a8fffe74d21d,2.11,-113,-1.3,eui-60c5a8fffe74d21d,-125,-10.3,,0,0,,0,0,polah
2019-11-30T15:03:31Z,1,eui-60c5a8fffe74d21d,2.11,-126,-8.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:03:31Z,1,eui-00800000a000414f,NaN,-118,-12.2,,0,0,,0,0,,0,0,polah
2019-11-30T15:03:35Z,1,eui-60c5a8fffe74d21d,2.11,-124,-8.5,,0,0,,0,0,,0,0,polah
2019-11-30T15:03:36Z,1,eui-00800000a000414f,NaN,-119,-12,,0,0,,0,0,,0,0,polah
2019-11-30T15:03:40Z,1,eui-60c5a8fffe74d21d,2.11,-126,-12.8,,0,0,,0,0,,0,0,polah
2019-11-30T15:03:46Z,2,eui-60c5a8fffe74d21d,2.11,-114,-1.5,eui-60c5a8fffe74d21d,-118,-3,,0,0,,0,0,polah
2019-11-30T15:03:51Z,2,eui-60c5a8fffe74d21d,2.11,-120,-7,eui-60c5a8fffe74d21d,-115,-2,,0,0,,0,0,polah
2019-11-30T15:03:56Z,2,eui-60c5a8fffe74d21d,2.11,-118,-3,eui-60c5a8fffe74d21d,-117,-1.8,,0,0,,0,0,polah
2019-11-30T15:04:01Z,1,eui-60c5a8fffe74d21d,2.11,-118,-2.5,,0,0,,0,0,,0,0,polah
